ID_Cliente,grupo_edad,region,nivel_ingresos,horas_conectado,clics_en_productos,uso_cupones,compra_realizada,total_compra
CL00001,46-60,Cajamarca,bajo,1.8,5,3,1,232.01
CL00002,60+,Moquegua,medio,3.19,8,1,0,0.0
CL00003,36-45,Tumbes,alto,4.03,3,4,1,999.68
CL00004,60+,Arequipa,medio,3.43,6,2,0,0.0
CL00005,60+,Ayacucho,bajo,1.21,5,2,0,0.0
CL00006,26-35,Tumbes,alto,3.61,5,0,0,0.0
CL00007,36-45,Áncash,medio,2.83,6,3,0,0.0
CL00008,36-45,Ucayali,medio,2.95,9,3,1,1165.02
CL00009,36-45,Amazonas,medio,5.0,3,4,0,0.0
CL00010,60+,Puno,medio,2.75,4,4,0,0.0
CL00011,46-60,Huánuco,alto,3.13,3,1,1,1115.65
CL00012,36-45,Tumbes,bajo,2.59,7,2,1,819.5
CL00013,60+,Ica,bajo,2.26,1,2,0,0.0
CL00014,26-35,Lima,alto,2.86,3,2,0,0.0
CL00015,46-60,Apurímac,bajo,2.06,3,2,1,414.37
CL00016,26-35,Cusco,alto,2.65,4,1,0,0.0
CL00017,46-60,Moquegua,medio,2.2,3,1,1,191.71
CL00018,60+,Lima,medio,0.42,7,0,0,0.0
CL00019,18-25,Tacna,bajo,2.01,4,0,0,0.0
CL00020,46-60,Lambayeque,alto,3.46,13,0,1,1510.02
CL00021,26-35,Puno,medio,3.02,8,3,1,1071.19
CL00022,60+,Lima,alto,2.27,3,1,0,0.0
CL00023,46-60,Ucayali,medio,2.6,7,0,0,0.0
CL00024,18-25,Tumbes,bajo,1.69,5,1,0,0.0
CL00025,18-25,Ica,medio,1.8,0,4,1,1143.62
CL00026,36-45,San Martín,medio,2.51,5,0,1,943.99
CL00027,36-45,Puno,medio,2.28,7,2,1,561.21
CL00028,26-35,Callao,alto,1.75,12,3,1,1768.9
CL00029,46-60,Lima,medio,2.43,7,2,0,0.0
CL00030,46-60,Apurímac,medio,1.39,0,4,0,0.0
CL00031,36-45,Piura,alto,4.07,10,0,0,0.0
CL00032,46-60,Cajamarca,bajo,3.4,6,2,0,0.0
CL00033,46-60,Apurímac,alto,0.33,3,1,0,0.0
CL00034,18-25,La Libertad,medio,3.34,3,1,1,1029.72
CL00035,36-45,Lima,medio,2.13,5,1,1,457.43
CL00036,60+,Puno,bajo,1.95,5,3,0,0.0
CL00037,36-45,Ucayali,medio,3.25,4,2,0,0.0
CL00038,60+,Lima,bajo,2.36,3,2,0,0.0
CL00039,18-25,Áncash,alto,2.11,8,2,0,0.0
CL00040,26-35,Madre de Dios,alto,1.17,6,1,1,1510.97
CL00041,46-60,Lima,bajo,3.42,7,0,0,0.0
CL00042,18-25,Lima,alto,3.54,9,1,0,0.0
CL00043,46-60,Huánuco,medio,2.66,5,4,0,0.0
CL00044,26-35,Lima,alto,1.33,6,0,0,0.0
CL00045,26-35,Ica,bajo,2.8,5,2,0,0.0
CL00046,18-25,Moquegua,medio,3.14,4,0,0,0.0
CL00047,26-35,Lima,medio,2.47,5,1,1,496.33
CL00048,60+,San Martín,bajo,3.38,4,0,1,869.16
CL00049,26-35,Lima,medio,2.67,9,4,0,0.0
CL00050,46-60,Cusco,medio,2.8,5,0,0,0.0
CL00051,46-60,Puno,bajo,3.98,7,2,1,612.66
CL00052,46-60,Lima,medio,2.01,5,4,0,0.0
CL00053,46-60,Callao,alto,0.93,4,2,1,256.84
CL00054,60+,Lima,bajo,2.33,7,1,1,836.74
CL00055,36-45,Junín,bajo,1.94,3,0,1,158.64
CL00056,18-25,Puno,medio,1.08,4,2,1,137.87
CL00057,46-60,Lima,medio,3.12,5,0,1,577.34
CL00058,26-35,Madre de Dios,medio,2.5,3,4,0,0.0
CL00059,46-60,Arequipa,medio,0.68,5,0,0,0.0
CL00060,26-35,La Libertad,bajo,4.05,4,3,0,0.0
CL00061,26-35,Ucayali,medio,1.77,2,2,1,324.27
CL00062,46-60,Pasco,medio,1.88,4,3,0,0.0
CL00063,60+,Cajamarca,alto,3.44,6,0,0,0.0
